iter	Logloss
0	0.6760132051
1	0.6621970771
2	0.6475268055
3	0.635033653
4	0.6208065135
5	0.6067199691
6	0.5921531802
7	0.5777588684
8	0.5620184861
9	0.5461303447
10	0.5311495516
11	0.5157701389
12	0.5010687605
13	0.486789753
14	0.474212047
15	0.462645544
16	0.4533762583
17	0.4469290811
18	0.4402614915
19	0.4342287467
20	0.4273719703
21	0.4204521159
22	0.4144302678
23	0.4087856457
24	0.4029284997
25	0.3968757402
26	0.3912268226
27	0.3856284952
28	0.3792324719
29	0.373192791
30	0.3673957864
31	0.3613287611
32	0.3558386759
33	0.3503095007
34	0.3449142513
35	0.3394582572
36	0.3338570071
37	0.3285235807
38	0.3230210839
39	0.3174203117
40	0.311981545
41	0.3073110979
42	0.3030219755
43	0.2993563145
44	0.2953242403
45	0.2906443581
46	0.2863905569
47	0.2825865917
48	0.279190479
49	0.2761847016
50	0.2724228454
51	0.2692502961
52	0.2657532374
53	0.2624602294
54	0.2597077546
55	0.2572297274
56	0.2550677782
57	0.2523223858
58	0.2498969155
59	0.2477972494
60	0.2457133346
61	0.2437044407
62	0.241931542
63	0.2399388756
64	0.2380895553
65	0.2358055466
66	0.2337905967
67	0.2319102963
68	0.2305133037
69	0.2286362932
70	0.2265745523
71	0.2254425073
72	0.2236109539
73	0.2216957827
74	0.2196102365
75	0.2174330438
76	0.215407514
77	0.2135732564
78	0.2119451823
79	0.2104875604
80	0.2090570405
81	0.2074182884
82	0.2062811781
83	0.2051003226
84	0.2040047349
85	0.2022082444
86	0.2011009059
87	0.2000778204
88	0.1987830062
89	0.1977899613
90	0.1964408577
91	0.1953211857
92	0.1942402381
93	0.1931524528
94	0.1919240177
95	0.1908365441
96	0.1895498669
97	0.1883836337
98	0.1873403464
99	0.1861740825
100	0.1853818631
101	0.1843887765
102	0.183570709
103	0.1826150722
104	0.181736073
105	0.1808913864
106	0.1796271178
107	0.1786664126
108	0.1779733414
109	0.1773187395
110	0.1763836093
111	0.1757897531
112	0.175001007
113	0.1743602483
114	0.1736601917
115	0.1729971806
116	0.1720191823
117	0.1709057902
118	0.1702558192
119	0.1695710561
120	0.1691268334
121	0.1684434089
122	0.1678252319
123	0.1671897163
124	0.1666516128
125	0.1659516811
126	0.1653616542
127	0.1644849186
128	0.1640123649
129	0.1635065252
130	0.1628212773
131	0.1623044531
132	0.1618369915
133	0.1611455032
134	0.1603853621
135	0.1598586663
136	0.1593406298
137	0.1587781767
138	0.1584319224
139	0.1579086117
140	0.15746398
141	0.1568260898
142	0.1562991436
143	0.1558510739
144	0.1552421274
145	0.1548503146
146	0.1544190866
147	0.1538863726
148	0.1533421094
149	0.1527410756
150	0.1521997943
151	0.1517994321
152	0.1514347358
153	0.1511585951
154	0.150858876
155	0.1504772239
156	0.1499484781
157	0.1497125278
158	0.1494693044
159	0.1489840197
160	0.1486154333
161	0.1484142461
162	0.148091901
163	0.1479091007
164	0.147414294
165	0.1469792466
166	0.1467114582
167	0.146379031
168	0.1459273794
169	0.1454476752
170	0.1452293274
171	0.1447293604
172	0.144622623
173	0.1441836078
174	0.1438104897
175	0.1434916453
176	0.1430348959
177	0.1426788213
178	0.1423740771
179	0.1420497992
180	0.1418894396
181	0.1416482101
182	0.1412292766
183	0.1408941395
184	0.1405856401
185	0.1403513639
186	0.1398783735
187	0.1397838176
188	0.1395147915
189	0.1390802011
190	0.1386366438
191	0.1382607617
192	0.1379849884
193	0.1378737755
194	0.1376413335
195	0.1375519643
196	0.1372973061
197	0.1371481858
198	0.1368117812
199	0.1366442001
