iter	Passed	Remaining
0	588	117147
1	1204	119265
2	1911	125519
3	2595	127194
4	3219	125564
5	4208	136072
6	5394	148732
7	6164	147936
8	6762	143506
9	7353	139719
10	7910	135917
11	8462	132572
12	9015	129679
13	9595	127486
14	10183	125595
15	10769	123844
16	11338	122059
17	11907	120401
18	12480	118888
19	13074	117668
20	13621	116104
21	14180	114733
22	14732	113374
23	15285	112094
24	15851	110960
25	16406	109796
26	16966	108708
27	17521	107633
28	18076	106587
29	18637	105613
30	19207	104714
31	19761	103746
32	20318	102825
33	20877	101933
34	21461	101177
35	22023	100328
36	22584	99496
37	23200	98905
38	23828	98369
39	24496	97985
40	25149	97532
41	25736	96817
42	26301	96032
43	26866	95253
44	27402	94386
45	27942	93546
46	28481	92715
47	29037	91952
48	29601	91219
49	30161	90485
50	30716	89741
51	31271	89004
52	31825	88270
53	32383	87554
54	32922	86795
55	33474	86077
56	34021	85351
57	34572	84642
58	35130	83955
59	35681	83257
60	36251	82605
61	36932	82205
62	37685	81951
63	38453	81714
64	39234	81486
65	39877	80964
66	40494	80384
67	41056	79697
68	41621	79019
69	42191	78356
70	42748	77669
71	43336	77043
72	43909	76390
73	44558	75870
74	45125	75209
75	45687	74542
76	46251	73882
77	46823	73237
78	47391	72586
79	48045	72068
80	48773	71655
81	49447	71155
82	50138	70677
83	50813	70170
84	51559	69756
85	52309	69339
86	53047	68900
87	53898	68597
88	54637	68143
89	55322	67616
90	56026	67109
91	56914	66813
92	57554	66219
93	58148	65571
94	58737	64919
95	59348	64293
96	59969	63679
97	60556	63027
98	61186	62423
99	61882	61882
100	62453	61216
101	63081	60607
102	63781	60066
103	64386	59433
104	64998	58808
105	65603	58176
106	66219	57555
107	67042	57110
108	67690	56511
109	68377	55944
110	68961	55293
111	69571	54663
112	70138	54000
113	70704	53338
114	71259	52670
115	71861	52037
116	72463	51405
117	73062	50772
118	73661	50139
119	74268	49512
120	74867	48880
121	75466	48249
122	76053	47611
123	76644	46975
124	77237	46342
125	77825	45706
126	78405	45067
127	78959	44414
128	79552	43784
129	80129	43146
130	80684	42497
131	81291	41877
132	81872	41243
133	82431	40600
134	82998	39962
135	83596	39339
136	84167	38704
137	84737	38070
138	85303	37435
139	85896	36812
140	86460	36178
141	87061	35560
142	87704	34958
143	88298	34338
144	88871	33709
145	89456	33086
146	90029	32459
147	90600	31832
148	91195	31214
149	91774	30591
150	92352	29968
151	92925	29345
152	93535	28733
153	94188	28134
154	95009	27583
155	95688	26988
156	96320	26380
157	96994	25783
158	97639	25177
159	98240	24560
160	98887	23954
161	99560	23353
162	100169	22737
163	100799	22126
164	101401	21509
165	101981	20887
166	102576	20269
167	103132	19644
168	103684	19019
169	104244	18396
170	104785	17770
171	105352	17150
172	105899	16527
173	106455	15907
174	107023	15289
175	107578	14669
176	108137	14051
177	108710	13436
178	109262	12818
179	109832	12203
180	110384	11587
181	110934	10971
182	111497	10357
183	112058	9744
184	112607	9130
185	113157	8517
186	113733	7906
187	114270	7293
188	114841	6683
189	115421	6074
190	115969	5464
191	116521	4855
192	117093	4246
193	117632	3638
194	118192	3030
195	118737	2423
196	119292	1816
197	119875	1210
198	120427	605
199	120993	0
